Overview,概览,概要,개요,Présentation,Überblick,Panoramica,Descripción general,Visão geral
Product details,产品详情,製品の詳細,제품 상세 정보,Détails du produit,Produktdetails,Dettagli del prodotto,Detalles del producto,Detalhes da solução
Any cloud.,任何云。,あらゆるクラウドに。,모든 클라우드.,Tous les clouds.,Many clouds.,Per tutti i cloud,Cualquier nube.,Todas as clouds.
Any workload.,任意工作负载。,あらゆるワークロードに。,모든 워크로드.,Toutes les charges de travail.,Many workloads.,"e per tutti i carichi di lavoro,",Cualquier carga de trabajo.,Todas as cargas de trabalho.
One OS.,一个操作系统就够了 。,ひとつの OS。,하나의 OS.,Un seul système d'exploitation.,One OS.,c'è un unico sistema operativo.,Un solo sistema operativo.,Um único sistema operacional.
Red Hat Enterprise Linux 8 is here.,红帽企业 Linux 8 闪耀登场。,Red Hat Enterprise Linux 8、登場。,Red Hat Enterprise Linux 8을 공개합니다.,Red Hat Enterprise Linux 8 est enfin disponible.,Red Hat Enterprise Linux 8 ist da.,Red Hat Enterprise Linux 8 è arrivato.,Red Hat Enterprise Linux 8 ya está aquí.,O Red Hat Enterprise Linux 8 já está disponível!
The intelligent OS for hybrid cloud.,混合云智能操作系统。,ハイブリッドクラウドのためのインテリジェント OS,하이브리드 클라우드를 위한 지능형 OS,Un système d'exploitation intelligent pour le cloud hybride,Das intelligente Betriebssystem für die Hybrid Cloud,Il sistema operativo pensato per il cloud ibrido.,El sistema operativo inteligente para nubes híbridas,O sistema operacional inteligente para a cloud híbrida
Modern IT is hybrid IT.  But turning a sprawling ecosystem―from traditional datacenters to public cloud services―into a true hybrid environment requires a few things. Scaling as needed. Moving workloads seamlessly. Developing and managing applications that run anywhere. There’s an operating system that makes those things possible. And now it gives you predictive analytics and remediation. That’s Red Hat® Enterprise Linux® 8.,现代化 IT 即混合 IT。但是，如果想要将传统数据中心到公共云服务的庞大生态系统打造成真正的混合环境，还需要满足一些要求。比如按需扩展。无缝迁移工作负载。开发和管理可随处运行的应用。只需一个操作系统就可以让这一切成为现实。而且现在这个操作系统可以支持预测分析和补救功能。这便是红帽® 企业 Linux® 8。,先進的 IT とは、ハイブリッド IT です。しかし、従来型データセンターであれパブリッククラウド・サービスであれ、無秩序に広がってしまったエコシステムを真のハイブリッド環境へと生まれ変わらせるためには、いくつか必要な要素があります。必要に応じたスケーリング。ワークロードのシームレスな移動。そして、あらゆる場所で実行可能なアプリケーションの開発と管理。これらを可能にするオペレーティングシステムに、予測分析と問題対処の機能が追加されました。それが Red Hat® Enterprise Linux® 8 です。,"현대화된 IT 환경은 하이브리드 IT로 이루어집니다.  그러나 전통적인 데이터센터에서 퍼블릭 클라우드 서비스로 확산되고 있는 에코시스템을 진정한 하이브리드 환경으로 만들기 위해서는 몇 가지 요소가 필요합니다. 필요에 따라 확장할 수 있고, 워크로드의 원활한 이동을 지원하며, 모든 환경에서 애플리케이션이 실행되도록 개발하고 관리할 수 있어야 합니다. 이 모든 요소를 수행하고 예측 분석과 문제 해결을 지원하는 운영 체제가 있습니다. 바로 Red Hat® Enterprise Linux® 8입니다.","Aujourd'hui, l'informatique est hybride.  Toutefois, pour transformer un écosystème hétérogène (datacenters classiques, services de cloud public, etc.) en véritable environnement hybride, vous devez pouvoir compter sur une évolutivité à la demande, des charges de travail faciles à migrer et une solution pour développer et gérer des applications qui s'exécutent partout. Il existe un système d'exploitation qui peut vous offrir tous ces avantages et plus encore, car il fournit désormais des analyses prédictives et des mesures de correction. Ce système, c'est Red Hat® Enterprise Linux® 8.","Die moderne IT ist hybrid.  Wenn Sie allerdings ein weit verzweigtes IT-System, von traditionellen Rechenzentren bis hin zu Public Cloud Services, in eine echte hybride Umgebung verwandeln möchten, müssen gewisse Anforderungen erfüllt sein. Wie das Skalieren nach Bedarf. Das nahtlose Verschieben von Workloads. Das Entwickeln und Verwalten von Anwendungen, die sich überall ausführen lassen. Es gibt ein Betriebssystem, mit dem das alles möglich ist. Und jetzt bietet es Ihnen auch noch Predictive Analytics und Problembehebung: Red Hat® Enterprise Linux® 8.","Per essere innovativo, l'IT deve essere ibrido,  ma per trasformare un ecosistema IT in costante espansione - dai datacenter tradizionali ai servizi di cloud pubblico - in un vero e proprio ambiente ibrido è necessario garantire: scalabilità in base alle esigenze, agilità nel trasferimento dei carichi di lavoro, sviluppo e gestione di applicazioni eseguibili ovunque. Esiste un sistema operativo che rende possibile tutto questo ed offre inoltre funzionalità di analisi predittiva consentendo di intervenire in modo preventivo. È Red Hat® Enterprise Linux® 8.","La TI moderna representa la TI híbrida.  Sin embargo, hay algunos requisitos para poder convertir un ecosistema en expansión, desde los centros de datos tradicionales hasta los servicios de nube pública, en un entorno realmente híbrido. Escala de acuerdo a la necesidades. Movilidad de cargas de trabajo sin complicaciones Desarrollo y gestión de aplicaciones que funcionan en todas partes. Red Hat® Enterprise Linux® 8 es el sistema operativo (OS) que permite cumplir con estos requisitos, y ahora ofrece análisis predictivo y corrección.","A TI moderna é híbrida.  No entanto, é importante ter uma base que permita transformar um ecossistema diverso (que inclui desde datacenters tradicionais a serviços de cloud pública) em um ambiente híbrido. Escalabilidade conforme o necessário. Migração simples de cargas de trabalho. Desenvolvimento e gerenciamento de aplicações que podem ser executadas em qualquer ambiente. Existe um sistema operacional que torna tudo isso possível. E agora ele também oferece análises preditivas e correções. Conheça o Red Hat® Enterprise Linux® 8."
Because what you do today sets the stage for what you can do tomorrow.,因为您现在付诸的行动将会是未来成功的基石。,今日の行動が、明日をひらく。,혁신을 위한 오늘의 노력은 내일의 성과를 위한 기반이 됩니다.,Les choix que vous effectuez aujourd'hui sont importants. Ce sont eux qui déterminent l'avenir de votre entreprise.,"Denn mit dem, was Sie heute tun, legen Sie den Grundstein für morgen",Poni oggi le giuste basi per i tuoi progetti futuri.,Porque lo que hace hoy prepara el camino hacia el futuro.,Porque o que você faz hoje determinará as suas possibilidades amanhã.
Created for innovators,为创新者而生,イノベーターのための OS,이노베이터를 위해 구축,Conçu pour les esprits novateurs,Geschaffen für Innovatoren,Creato per gli innovatori,Creado para los innovadores,Desenvolvido para inovadores
Cutting edge meets enterprise-grade,尖端技术全方位满足企业级需求。,先端技術を、エンタープライズグレードの信頼で,엔터프라이즈급 혁신 기술,Une technologie de pointe adaptée aux entreprises,Modernste Technologie trifft auf Enterprise-Qualität,Soluzioni enterprise innovative,Tecnología de punta que se adapta a las empresas,A inovação chega às empresas
