Overview,概览,概要,개요,Présentation,Überblick,Panoramica,Descripción general,Visão geral
Product details,产品详情,製品の詳細,제품 상세 정보,Détails du produit,Produktdetails,Dettagli del prodotto,Detalles del producto,Detalhes da solução
"Red Hat Enterprise Linux 8 is here.
",红帽企业 Linux 8 闪耀登场,Red Hat Enterprise Linux 8、登場。,Red Hat Enterprise Linux 8을 공개합니다.,Red Hat Enterprise Linux 8 est enfin disponible.,Red Hat Enterprise Linux 8 ist da.,Red Hat Enterprise Linux 8 è arrivato.,Red Hat Enterprise Linux 8 está aquí.,O Red Hat Enterprise Linux 8 está disponível!
"Any workload. Any environment. One OS. 
",任意工作负载。任何环境。一个操作系统就够了 。,あらゆるワークロードに。あらゆる環境に。ひとつの OS。,모든 워크로드. 모든 환경. 하나의 OS.,Toutes les charges de travail. Tous les environnements. Un seul système d'exploitation.,Many workloads. Many environments. One OS.,Per tutti i carichi di lavoro e per qualsiasi ambiente c'è un unico sistema operativo.,Cualquier carga de trabajo. Cualquier entorno. Un solo sistema operativo.,Todas as cargas de trabalho. Todos os ambientes. Um único sistema operacional.
Try it,试用,試用する,체험하기,Essayer,Jetzt testen,Provalo,Pruébelo,Experimente
"The intelligent OS for hybrid cloud
",混合云智能操作系统,ハイブリッドクラウドのためのインテリジェント OS,하이브리드 클라우드를 위한 지능형 OS,Un système d'exploitation intelligent pour le cloud hybride,Das intelligente Betriebssystem für die Hybrid Cloud,Il sistema operativo pensato per il cloud ibrido,El sistema operativo inteligente para nubes híbridas,O sistema operacional inteligente para a cloud híbrida
"Migrate workloads across environments with the operating system (OS) engineered for the hybrid cloud. Red Hat Enterprise Linux 8 gives organizations a consistent OS across public, private, and hybrid cloud environments. It provides version choice, long life-cycle commitments, a robust ecosystem of certified hardware, software, and cloud partners, and now comes with built-in management and predictive analytics.",通过专为混合云开发的操作系统（OS）实现跨环境工作负载迁移。红帽企业 Linux 8 为企业提供了一致的操作系统，可跨公共云、私有云和混合云环境运行。同时还提供版本选择、使用期限长的保障以及由经过认证的硬件、软件和云合作伙伴搭建的强大生态系统，现在还新增了内置管理和预测分析的功能。,ハイブリッドクラウド向けに設計されたオペレーティングシステム (OS) で、環境の壁を越えてワークロードを移行しましょう。Red Hat Enterprise Linux 8 は、パブリッククラウド、プライベートクラウド、ハイブリッドクラウド環境に一貫した OS を提供します。バージョンの選択、長期にわたるライフサイクル、そして認定済みのハードウェア、ソフトウェア、クラウドパートナーから成る強固なエコシステムといった強みを持つ OS に、組み込みの管理機能と予測分析機能が加わりました。,"하이브리드 클라우드를 위해 설계된 운영 체제로 환경 전반에서 워크로드를 마이그레이션할 수 있습니다. Red Hat Enterprise Linux 8은 퍼블릭, 프라이빗 및 하이브리드 클라우드 환경 전체에서 일관된 OS를 기업에 제공합니다. 버전 선택권과 장기적인 라이프사이클과 더불어 인증된 하드웨어, 소프트웨어 및 클라우드 파트너로 구성된 강력한 에코시스템을 제공하며, 이제 빌트인 관리 및 예측 분석 기능을 지원합니다.","Migrez vos charges de travail entre plusieurs environnements grâce au système d'exploitation conçu pour le cloud hybride. La solution Red Hat Enterprise Linux 8 offre aux entreprises un système d'exploitation cohérent dans les environnements de cloud privé, public et hybride. Elle vous permet de choisir votre version et dispose d'un long cycle de vie pris en charge. Associée à un vaste écosystème de partenaires certifiés pour le matériel, les logiciels et le cloud, elle inclut désormais aussi des outils de gestion et d'analyse prédictive.","Migrieren Sie Workloads mühelos zwischen Umgebungen – mit dem Betriebssystem, das für die Hybrid Cloud entwickelt wurde. Red Hat Enterprise Linux 8 bietet Organisationen unerreichte Einheitlichkeit über Public, Private und Hybrid Cloud-Umgebungen hinweg. Mit ihm bekommen Sie die freie Wahl bei den Versionen, lange Lifecycles, ein robustes Netzwerk aus zertifizierten Hardware-, Software- und Cloud-Partnern und ab sofort auch integriertes Management und Predictive Analytics.","Trasferisci i carichi di lavoro tra diversi ambienti grazie al sistema operativo progettato per il cloud ibrido. Red Hat Enterprise Linux 8 è un sistema operativo che garantisce coerenza in ambienti cloud pubblici, privati e ibridi e che offre alla tua azienda possibilità di scelta, garantendo un impegno a lungo termine rispetto al ciclo di vita, un ecosistema consolidato di partner e fornitori di hardware, software e cloud certificati, e da oggi anche funzionalità di gestione e analisi predittiva integrate.","Transfiera las cargas de trabajo de un entorno a otro gracias al sistema operativo (OS) diseñado para la nube híbrida. Red Hat Enterprise Linux 8 ofrece a las empresas un sistema operativo uniforme en todos los entornos de nubes híbridas, privadas y públicas. Brinda opciones de versiones; compromiso con un ciclo de vida extenso; un ecosistema sólido de partners certificados de hardware, software y nube; y ahora viene con el análisis predictivo y la gestión integrada.","Migre suas cargas de trabalho entre ambientes com o sistema operacional desenvolvido para a cloud híbrida. O Red Hat Enterprise Linux 8 oferece às organizações um sistema operacional consistente entre ambientes de cloud híbrida, pública e privada. Ele fornece opções de versões, compromissos com o ciclo de vida útil, um ecossistema robusto de hardware, software e parceiros de cloud certificados, além de oferecer gerenciamento e análises preditivas integrados."
Start your evaluation,开始评估,評価版を利用する,평가 시작하기,Commencer votre essai,Test starten,Provalo subito,Comience su evaluación,Faça uma avaliação agora mesmo
"
4,900 certified commercially supported software vendors
","4,900 家经过认证的商业支持软件供应商","4,900 認定された商用サポート付きソフトウェアベンダー","4,900 인증된 상용 지원 소프트웨어 벤더",4 900 éditeurs de logiciels commerciaux certifiés,"4.900 zertifizierte, gewerblich unterstützte Softwareanbieter",4.900 fornitori di software certificati,4900 proveedores certificados de software con soporte comercial,4.900 fornecedores de software certificados e compatíveis para comercialização
"5,500 tested, verified, and supported hardware types and components","5,500 种经过测试、验证和受支持的硬件类型和组件","5,500 サポート対象のテストおよび検証済みハードウェアのタイプとコンポーネント","5,500 테스트와 검증을 거쳐 지원되는 하드웨어 종류와 구성요소","5 500 types de matériel et composants testés, vérifiés et pris en charge","5.500 getestete, verifizierte und unterstützte Hardware-Typen und -Komponenten","5.500 tipi di hardware e componenti testati, verificati e supportati","5500 elementos y tipos de hardware probados, verificados y compatibles","5.500 componentes e tipos de software testados, verificados e compatíveis"
800+ certified cloud and service providers,800 多家经过认证的云和服务提供商,800+ 認定クラウド & サービスプロバイダー,800+ 인증된 클라우드 및 서비스 제공업체,Plus de 800 fournisseurs de cloud et de services certifiés,Über 800 zertifizierte Cloud- und Service-Anbieter,Oltre 800 provider di servizi e cloud certificati,Más de 800 proveedores certificados de servicios y nube,Mais de 800 fornecedores de cloud e serviços certificados
